customer_state,avg_payment_val,num_orders,avg_payment_instals
SP,137.5,43622,2.6
PR,154.15,5262,2.9
ES,154.71,2107,3.0
MG,154.71,12102,3.0
RS,157.18,5668,3.0
RJ,158.53,13527,3.0
DF,161.13,2204,2.7
GO,165.76,2112,3.0
SC,165.98,3754,2.9
BA,170.82,3610,3.2
AM,181.6,154,3.3
MS,186.87,736,2.9
PE,187.99,1728,3.5
MT,195.23,958,3.0
RN,196.78,522,3.6
MA,198.86,767,3.1
CE,199.9,1398,3.5
TO,204.27,301,3.0
PI,207.11,524,3.4
SE,208.44,361,3.6
PA,215.92,1011,3.2
AL,227.08,427,3.7
RO,233.2,261,3.4
PB,248.33,570,3.8
