feature,coefficient,odds_ratio,abs_coefficient,direction,model,run_at,git_commit
product_category_eletronicos,-0.57007617609695,0.5654823608196642,0.57007617609695,lower repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
customer_state_CE,-0.539146351529385,0.5832459269177169,0.539146351529385,lower repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
product_category_consoles_games,-0.45406755180343855,0.6350398337109515,0.45406755180343855,lower repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
product_category_cool_stuff,-0.4145099446534741,0.6606639632947828,0.4145099446534741,lower repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
product_category_malas_acessorios,-0.39448943757837857,0.6740240827814805,0.39448943757837857,lower repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
product_category_moveis_escritorio,-0.3080209018845803,0.7348999570544524,0.3080209018845803,lower repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
product_category_papelaria,-0.1977589790304125,0.8205676033052659,0.1977589790304125,lower repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
product_category_automotivo,-0.19678629750230908,0.821366142554791,0.19678629750230908,lower repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
product_category_brinquedos,-0.18511936340322355,0.8310050863367657,0.18511936340322355,lower repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
product_category_relogios_presentes,-0.1850722337939076,0.8310442522047531,0.1850722337939076,lower repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
customer_state_SC,-0.18458141686397975,0.8314522429094365,0.18458141686397975,lower repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
payment_type_debit_card,-0.1692037210351366,0.8443368766813786,0.1692037210351366,lower repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
customer_seller_distance_km,-0.13942465304006066,0.8698585619335144,0.13942465304006066,lower repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
payment_type_credit_card,-0.11568698941112322,0.8907539950984839,0.11568698941112322,lower repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
payment_value,-0.11086986692232928,0.8950552176408075,0.11086986692232928,lower repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
customer_state_PR,-0.1105476739157345,0.8953436446345326,0.1105476739157345,lower repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
delivery_delay_days,-0.1031462492544556,0.901995047731477,0.1031462492544556,lower repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
product_category_bebes,-0.07945195699974174,0.9236223924935444,0.07945195699974174,lower repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
product_category_perfumaria,-0.06706536785741363,0.9351340716281825,0.06706536785741363,lower repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
items_price,-0.06267779785728692,0.9392460520313198,0.06267779785728692,lower repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
same_state,-0.044225287942254936,0.9567383915682461,0.044225287942254936,lower repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
customer_state_RS,-0.042899781276010705,0.9580073955349304,0.042899781276010705,lower repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
product_category_utilidades_domesticas,-0.03822545190437719,0.9624959198901253,0.03822545190437719,lower repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
customer_state_MG,-0.023956453166138557,0.9763282248352052,0.023956453166138557,lower repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
payment_type_infrequent_sklearn,-0.003685956609444792,0.9963208281899,0.003685956609444792,lower repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
freight_value,-0.003197973846235558,0.9968071342255143,0.003197973846235558,lower repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
seller_state_seller_count,0.014304839035899665,1.0144076428582922,0.014304839035899665,higher repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
product_category_telefonia,0.019086632193952534,1.0192699463843233,0.019086632193952534,higher repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
payment_type_boleto,0.023265463208248217,1.0235382152240518,0.023265463208248217,higher repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
product_category_ferramentas_jardim,0.025661804296034606,1.0259939030618062,0.025661804296034606,higher repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
customer_state_PE,0.02716895432662168,1.0275413956630208,0.02716895432662168,higher repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
customer_state_ES,0.03802283607337628,1.038754953691994,0.03802283607337628,higher repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
delivery_time_days,0.03958062856244104,1.040374379393941,0.03958062856244104,higher repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
review_score,0.042379445591096555,1.0432902755496305,0.042379445591096555,higher repeat odds,Logistic regression (base features),2026-09-19 19:24:43.035893+00:00,f714a32568c8217613d178629688eaa63cd7b3f5
