cohort_month,cohort_size,customers_active_month_1,retention_month_1_pct,customers_active_month_2,retention_month_2_pct
2016-09,4,0,0.0,0,0.0
2016-10,321,0,0.0,0,0.0
2016-12,1,1,100.0,0,0.0
2017-01,764,3,0.39,2,0.26
2017-02,1752,4,0.23,5,0.29
2017-03,2636,13,0.49,10,0.38
2017-04,2352,14,0.6,5,0.21
2017-05,3596,18,0.5,18,0.5
2017-06,3139,15,0.48,11,0.35
2017-07,3894,20,0.51,14,0.36
2017-08,4184,29,0.69,14,0.33
2017-09,4130,28,0.68,22,0.53
2017-10,4470,31,0.69,11,0.25
2017-11,7304,40,0.55,28,0.38
2017-12,5487,14,0.26,15,0.27
2018-01,7025,24,0.34,27,0.38
2018-02,6451,25,0.39,25,0.39
2018-03,6965,32,0.46,22,0.32
2018-04,6711,39,0.58,21,0.31
2018-05,6622,35,0.53,18,0.27
2018-06,5940,25,0.42,17,0.29
2018-07,6071,44,0.72,2,0.03
2018-08,6271,7,0.11,2,0.03
