feature,coefficient,odds_ratio,abs_coefficient,direction,model,run_at,git_commit
customer_state_CE,-0.7989956229222168,0.4497804865405941,0.7989956229222168,lower repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
product_category_eletronicos,-0.5632779187371786,0.569339752354938,0.5632779187371786,lower repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
product_category_consoles_games,-0.49195448299476546,0.6114301956704553,0.49195448299476546,lower repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
product_category_cool_stuff,-0.42079555347687264,0.6565243118021762,0.42079555347687264,lower repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
product_category_malas_acessorios,-0.39697964910926775,0.6723477083681759,0.39697964910926775,lower repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
product_category_moveis_escritorio,-0.24437665398638211,0.7831925860911595,0.24437665398638211,lower repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
product_category_automotivo,-0.2051804458322392,0.8145003299603684,0.2051804458322392,lower repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
customer_state_PE,-0.19211025262198209,0.8252158812613739,0.19211025262198209,lower repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
product_category_papelaria,-0.19147631513124444,0.8257391823990374,0.19147631513124444,lower repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
product_category_brinquedos,-0.18838091322679643,0.8282991370370241,0.18838091322679643,lower repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
product_category_relogios_presentes,-0.18567021377119716,0.830547452934505,0.18567021377119716,lower repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
payment_type_debit_card,-0.17617047127923655,0.8384750352412823,0.17617047127923655,lower repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
customer_state_PA,-0.14980221730837498,0.8608782264010325,0.14980221730837498,lower repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
payment_type_credit_card,-0.13070921064736699,0.8774728970714587,0.13070921064736699,lower repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
payment_value,-0.11546646905903944,0.8909504461430336,0.11546646905903944,lower repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
delivery_delay_days,-0.08553662794681655,0.9180195172682859,0.08553662794681655,lower repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
product_category_bebes,-0.08052746185680132,0.9226295661148259,0.08052746185680132,lower repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
product_category_perfumaria,-0.07214846675425794,0.9303927531644168,0.07214846675425794,lower repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
customer_state_SC,-0.07189338027980188,0.930630114044169,0.07189338027980188,lower repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
items_price,-0.05662540709947206,0.9449479738797096,0.05662540709947206,lower repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
product_category_utilidades_domesticas,-0.029993953474197876,0.9704514013902064,0.029993953474197876,lower repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
freight_value,-0.01601259453110449,0.9841149255111938,0.01601259453110449,lower repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
payment_type_infrequent_sklearn,-0.0042955059700579366,0.9957137065202221,0.0042955059700579366,lower repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
payment_type_boleto,0.006577481432572394,1.006599160568878,0.006577481432572394,higher repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
customer_state_RS,0.01228942491183508,1.0123652501921614,0.01228942491183508,higher repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
customer_state_PR,0.015061135071234083,1.0151751255222645,0.015061135071234083,higher repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
delivery_time_days,0.01676319745055092,1.0169044882359426,0.01676319745055092,higher repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
product_category_ferramentas_jardim,0.02116778586596165,1.0213934126393769,0.02116778586596165,higher repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
product_category_telefonia,0.021348722898486733,1.0215782372528048,0.021348722898486733,higher repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
review_score,0.04159514685240881,1.0424723450952709,0.04159514685240881,higher repeat odds,Logistic regression (base features),2026-09-09 16:47:29.766513+00:00,47aad8ea17d8ecc44853a4abf7690f2bd4dab71c
